Id,Time[ns],SD card (SD mode): Raw bits,SD card (SD mode): Decoded bits,SD card (SD mode): Decoded fields,SD card (SD mode): Fields,SD card (SD mode): Commands
1,508901576.00,0,,,Start bit,CMD0 (GO_IDLE_STATE): Reset all SD cards
2,508901600.00,1,,,Transmission: host,
3,508901640.00,0,,,Command: GO_IDLE_STATE (0),
4,508901664.00,0,,,,
5,508901680.00,0,,,,
6,508901704.00,0,,,,
7,508901720.00,0,,,,
8,508901744.00,0,,,,
9,508901760.00,0,,Stuff bits,Argument: 0x00040038,
10,508901784.00,0,,,,
11,508901800.00,0,,,,
12,508901824.00,0,,,,
13,508901864.00,0,,,,
14,508901904.00,0,,,,
15,508901928.00,0,,,,
16,508901944.00,0,,,,
17,508901968.00,0,,,,
18,508901984.00,0,,,,
19,508902008.00,0,,,,
20,508902024.00,0,,,,
21,508902048.00,0,,,,
22,508902088.00,1,,,,
23,508902128.00,0,,,,
24,508902168.00,0,,,,
25,508902192.00,0,,,,
26,508902208.00,0,,,,
27,508902232.00,0,,,,
28,508902248.00,0,,,,
29,508902272.00,0,,,,
30,508902288.00,0,,,,
31,508902312.00,0,,,,
32,508902352.00,0,,,,
33,508902392.00,0,,,,
34,508902432.00,0,,,,
35,508902472.00,1,,,,
36,508902536.00,1,,,,
37,508902576.00,1,,,,
38,508902616.00,0,,,,
39,508902656.00,0,,,,
40,508902800.00,0,,,,
41,508902840.00,0,,,CRC: 0x0,
42,508902880.00,0,,,,
43,513796144.00,0,,,,
44,513796184.00,0,,,,
45,513796224.00,0,,,,
46,513796264.00,0,,,,
47,513796304.00,0,,,,
48,513796328.00,0,,,End bit,
49,567943752.00,0,,,Start bit,CMD32 (ERASE_WR_BLK_START): CMD32
50,567943856.00,1,,,Transmission: host,
51,567943896.00,1,,,Command: ERASE_WR_BLK_START (32),
52,567943936.00,0,,,,
53,567943976.00,0,,,,
54,567944120.00,0,,,,
55,567944160.00,0,,,,
56,567944200.00,0,,,,
57,573936192.00,0,,,Argument: 0x00000000,
58,573936216.00,0,,,,
59,573936232.00,0,,,,
60,573936256.00,0,,,,
61,573936296.00,0,,,,
62,573936336.00,0,,,,
63,573936352.00,0,,,,
64,573936376.00,0,,,,
65,573936416.00,0,,,,
66,573936456.00,0,,,,
67,573936496.00,0,,,,
68,573936536.00,0,,,,
69,573936560.00,0,,,,
70,573936576.00,0,,,,
71,573936600.00,0,,,,
72,573936616.00,0,,,,
73,573936656.00,0,,,,
74,573936680.00,0,,,,
75,573936720.00,0,,,,
76,573936760.00,0,,,,
77,573936800.00,0,,,,
78,573936840.00,0,,,,
79,573936880.00,0,,,,
80,573936920.00,0,,,,
81,573936944.00,0,,,,
82,573936960.00,0,,,,
83,573936984.00,0,,,,
84,573937024.00,0,,,,
85,573937064.00,0,,,,
86,573937288.00,0,,,,
87,573937304.00,0,,,,
88,573937328.00,0,,,,
89,573937344.00,0,,,CRC: 0x0,
90,573937368.00,0,,,,
91,573937408.00,0,,,,
92,573937448.00,0,,,,
93,573937488.00,0,,,,
94,573937528.00,0,,,,
95,573937568.00,0,,,,
96,573937592.00,0,,,End bit,
97,573937632.00,0,,,Start bit,Response: R1
98,573937648.00,0,,,Transmission: card,
99,573937672.00,0,,,Command: GO_IDLE_STATE (0),
100,573937712.00,0,,,,
101,573937752.00,0,,,,
102,573937792.00,0,,,,
103,573937832.00,0,,,,
104,573937936.00,0,,,,
105,573937952.00,0,OUT_OF_RANGE,Card status,Argument: 0x00000000,
106,573937976.00,0,ADDRESS_ERROR,,,
107,573938016.00,0,BLOCK_LEN_ERROR,,,
108,573938056.00,0,ERASE_SEQ_ERROR,,,
109,573938096.00,0,ERASE_PARAM,,,
110,573975912.00,0,WP_VIOLATION,,,
111,573975952.00,0,CARD_IS_LOCKED,,,
112,573975968.00,0,LOCK_UNLOCK_FAILED,,,
113,573975992.00,0,COM_CRC_ERROR,,,
114,573976032.00,0,ILLEGAL_COMMAND,,,
115,573976072.00,0,CARD_ECC_FAILED,,,
116,573976096.00,0,CC_ERROR,,,
117,573976112.00,0,ERROR,,,
118,573976136.00,0,Reserved,,,
119,573976152.00,0,Reserved for DEFERRED_RESPONSE,,,
120,573976176.00,0,CSD_OVERWRITE,,,
121,573976216.00,0,WP_ERASE_SKIP,,,
122,573976256.00,0,CARD_ECC_DISABLED,,,
123,573976296.00,0,ERASE_RESET,,,
124,573976320.00,0,CURRENT_STATE,,,
125,573976336.00,0,,,,
126,573976360.00,0,,,,
127,573976400.00,0,,,,
128,573976440.00,0,READY_FOR_DATA,,,
129,573976480.00,0,RSVD,,,
130,573976520.00,0,FX_EVENT,,,
131,573976560.00,0,APP_CMD,,,
132,573976584.00,0,Reserved for SDIO card,,,
133,573976600.00,0,AKE_SEQ_ERROR,,,
134,573976624.00,0,Reserved for application specific commands,,,
135,573976664.00,0,Reserved for manufacturer test mode,,,
136,573976704.00,0,,,,
137,573976808.00,0,,,CRC: 0x0,
138,573976824.00,0,,,,
139,573977048.00,0,,,,
140,573977072.00,0,,,,
141,573977088.00,0,,,,
142,573977152.00,0,,,,
143,573977192.00,0,,,,
144,573977232.00,0,,,End bit,
145,588467424.00,0,,,Start bit,CMD48 (Unknown): CMD48
146,588467504.00,1,,,Transmission: host,
147,588467544.00,1,,,Command: Unknown (48),
148,588467584.00,1,,,,
149,588467608.00,0,,,,
150,588467624.00,0,,,,
151,588467648.00,0,,,,
152,588467664.00,0,,,,
153,588467688.00,0,,,Argument: 0x00000000,
154,588467728.00,0,,,,
155,588467768.00,0,,,,
156,588467808.00,0,,,,
157,588467848.00,0,,,,
158,588467872.00,0,,,,
159,588467888.00,0,,,,
160,588467912.00,0,,,,
161,588467928.00,0,,,,
162,588467952.00,0,,,,
163,588467992.00,0,,,,
164,588468032.00,0,,,,
165,588468072.00,0,,,,
166,588468112.00,0,,,,
167,588468152.00,0,,,,
168,588468216.00,0,,,,
169,588468256.00,0,,,,
170,588468296.00,0,,,,
171,588468336.00,0,,,,
172,588468376.00,0,,,,
173,588468416.00,0,,,,
174,588468456.00,0,,,,
175,1866591024.00,0,,,,
176,1866591064.00,0,,,,
177,1866591080.00,0,,,,
178,1866591104.00,0,,,,
179,1866591144.00,0,,,,
180,1866591184.00,0,,,,
181,1866591224.00,0,,,,
182,1866591248.00,0,,,,
183,1866591264.00,0,,,,
184,1866591288.00,0,,,,
185,1866591304.00,0,,,CRC: 0x0,
186,1866591328.00,0,,,,
187,1866591368.00,0,,,,
188,1866591408.00,0,,,,
189,1866591448.00,0,,,,
190,1866591472.00,0,,,,
191,1866591512.00,0,,,,
192,1866591528.00,0,,,End bit,
193,1866591592.00,0,,,Start bit,Response: R1
194,1866591632.00,0,,,Transmission: card,
195,1866591672.00,0,,,Command: GO_IDLE_STATE (0),
196,1866591696.00,0,,,,
197,1866591712.00,0,,,,
198,1866591736.00,0,,,,
199,1866591776.00,0,,,,
200,1866591816.00,0,,,,
201,1866591920.00,0,OUT_OF_RANGE,Card status,Argument: 0x00000000,
202,1866591936.00,0,ADDRESS_ERROR,,,
203,1866592144.00,0,BLOCK_LEN_ERROR,,,
204,1866592160.00,0,ERASE_SEQ_ERROR,,,
205,1866592184.00,0,ERASE_PARAM,,,
206,1866592224.00,0,WP_VIOLATION,,,
207,1866592264.00,0,CARD_IS_LOCKED,,,
208,1866592304.00,0,LOCK_UNLOCK_FAILED,,,
209,1866592328.00,0,COM_CRC_ERROR,,,
210,1866592344.00,0,ILLEGAL_COMMAND,,,
211,1866592368.00,0,CARD_ECC_FAILED,,,
212,1866592408.00,0,CC_ERROR,,,
213,1866592448.00,0,ERROR,,,
214,1866592488.00,0,Reserved,,,
215,1866592528.00,0,Reserved for DEFERRED_RESPONSE,,,
216,1866592568.00,0,CSD_OVERWRITE,,,
217,1866592592.00,0,WP_ERASE_SKIP,,,
218,1866592632.00,0,CARD_ECC_DISABLED,,,
219,1866592672.00,0,ERASE_RESET,,,
220,1866592752.00,0,CURRENT_STATE,,,
221,1866592816.00,0,,,,
222,1866592832.00,0,,,,
223,1866592856.00,0,,,,
224,1866592896.00,0,READY_FOR_DATA,,,
225,1866592936.00,0,RSVD,,,
226,1866592976.00,0,FX_EVENT,,,
227,1866630760.00,0,APP_CMD,,,
228,1866630800.00,0,Reserved for SDIO card,,,
229,1866630824.00,0,AKE_SEQ_ERROR,,,
230,1866630864.00,0,Reserved for application specific commands,,,
231,1866630880.00,0,Reserved for manufacturer test mode,,,
232,1866630904.00,0,,,,
233,1866630920.00,0,,,CRC: 0x0,
234,1866630944.00,0,,,,
235,1866630984.00,0,,,,
236,1866631024.00,0,,,,
237,1866631048.00,0,,,,
238,1866631064.00,0,,,,
239,1866631088.00,0,,,,
240,1866631104.00,0,,,End bit,
